char,male,female
瞞,27,19
魔,27,11
姆,27,6
開,26,3
贓,26,6
背,26,21
懈,26,9
囑,26,6
剿,26,45
販,26,2
鄢,26,32
蘿,26,55
替,26,9
弧,26,9
唁,26,19
瀲,26,27
顫,26,40
短,26,9
嫌,26,90
龜,26,10
籠,26,12
餚,26,31
菏,26,28
苔,26,62
戲,26,13
崛,26,2
淯,26,12
詩,26,18
膝,26,6
廚,26,7
篾,26,10
賠,26,21
詡,26,6
攬,26,23
燒,26,6
窟,26,4
嬙,26,357
逖,26,4
譙,26,65
紛,26,122
曳,26,16
掇,26,19
凎,26,0
庾,26,8
碼,26,11
喀,26,5
腰,26,30
潢,26,6
暨,26,6
避,26,5
孕,26,11
訾,26,19
捆,25,12
妻,25,10
弭,25,13
撕,25,96
控,25,7
罩,25,7
庵,25,3
緹,25,52
俺,25,6
佾,25,10
椹,25,14
浤,25,2
淩,25,13
浥,25,25
桄,25,3
諭,25,1
鳳,25,28
鍛,25,12
忘,25,5
鍾,25,7
啤,25,2
勱,25,10
長,25,0
鈦,25,1
蘑,25,15
刑,25,6
憐,25,166
謙,25,1
瑣,25,13
臆,25,36
炙,25,15
砰,25,24
鞋,25,11
砒,25,14
嶧,25,3
嶷,25,19
逼,25,10
削,25,5
煥,25,6
濼,25,6
瞪,25,5
埋,25,20
崙,25,3
賺,25,3
蹊,25,15
捕,25,9
沽,25,43
否,25,11
蒨,25,76
膛,24,5
瀠,24,59
姨,24,53
菇,24,38
燿,24,4
稗,24,24
擲,24,22
貼,24,12
蟲,24,12
篆,24,26
偷,24,12
墓,24,4
底,24,10
貺,24,3
裊,24,16
掣,24,8
塍,24,1
嵨,24,1
澤,24,5
滎,24,13
烴,24,5
亞,24,8
汨,24,20
片,24,21
眭,24,11
儐,24,5
廂,24,16
眨,24,9
拇,24,10
祀,24,0
售,24,14
恥,24,10
褒,24,13
匣,24,52
返,24,10
懼,24,5
彈,24,17
蠡,24,2
佯,24,15
戮,24,13
泡,24,19
邪,24,4
媒,24,13
簿,24,8
湄,24,102
拍,24,10
榔,23,18
嶂,23,0
憾,23,19
紓,23,48
謅,23,20
躉,23,5
減,23,13
闡,23,10
肋,23,6
棖,23,7
魄,23,3
萄,23,51
芍,23,88
嶔,23,1
液,23,12
寂,23,20
拄,23,5
籃,23,30
梳,23,25
突,23,7
搶,23,3
酷,23,15
腫,23,9
嘻,23,13
縫,23,10
涎,23,2
丟,23,13
笏,23,2
唇,23,25
增,23,1
藎,23,23
郇,23,6
斛,23,11
匠,23,10
躁,23,9
盯,23,17
縈,23,63
檁,23,2
聾,23,18
們,23,8
堯,22,2
鎮,22,0
嶙,22,7
豬,22,14
粥,22,3
僵,22,8
鷙,22,4
驃,22,1
芥,22,17
姮,22,102
袱,22,1
描,22,23
嶺,22,19
迺,22,2
鄺,22,43
逗,22,60
靛,22,17
羌,22,10
倦,22,9
艿,22,12
菀,22,100
瑒,22,13
肜,22,10
遠,22,1
揖,22,5
旵,22,2
篡,22,9
遭,22,6
病,22,4
鬼,22,6
較,22,13
駭,22,6
芫,21,35
檄,21,13
叨,21,2
椏,21,26
滲,21,5
撈,21,7
瓅,21,28
溺,21,2
惠,21,18
顒,21,3
傀,21,37
飛,21,2
硝,21,11
矜,21,30
稍,21,11
脅,21,5
軍,21,4
蘋,21,51
糾,21,6
盅,21,4
莒,21,8
佬,21,6
戢,21,13
紜,21,21
緘,21,14
瑙,21,24
蓴,21,29
傍,21,19
躊,21,8
椽,21,3
忭,21,5
膊,21,4
蓑,21,11
嚨,21,3
錮,21,8
飯,21,6
仂,20,11
氮,20,11
妨,20,71
咳,20,3
駝,20,6
囿,20,9
甍,20,12
鋏,20,10
曖,20,12
軔,20,5
珧,20,8
窗,20,9
扇,20,34
孿,20,21
枰,20,8
酋,20,3
鏖,20,2
側,20,7
裹,20,2
珵,20,19
錞,20,6
癡,20,282
怖,20,2
橄,20,19
扭,20,22
莖,20,23
鞘,20,13
鉸,20,8
玏,20,4
洶,20,3
溉,20,3
嶔,20,13
紘,20,4
吃,20,8
樂,20,3
勳,20,0
貞,20,19
裸,20,0
愨,20,7
絕,20,18
檉,20,2
討,20,7
蹈,20,9
晉,20,0
噠,20,10
群,20,2
醞,20,7
達,20,2
胞,20,3
幌,20,3
估,20,6
撬,20,23
倢,20,13
紀,19,3
畸,19,7
塌,19,9
島,19,1
笈,19,5
舷,19,4
揭,19,4
睬,19,11
葬,19,30
逮,19,6
跨,19,3
腐,19,8
愷,19,5
胎,19,16
奭,19,4
淹,19,10
誘,19,122
歉,19,22
棻,19,16
褐,19,4
鏜,19,1
財,19,1
耗,19,9
肝,19,14
椋,19,4
嬸,19,15
畯,19,0
浡,19,2
媞,19,71
睫,19,33
壑,19,6
嗡,19,8
琭,19,7
孳,19,11
棽,19,9
襟,19,7
擅,19,9
峋,19,3
厘,19,16
眠,19,14
烤,19,3
粕,19,6
菩,19,19
窪,19,6
濾,19,17
搞,19,4
址,19,16
噴,19,11
撓,19,13
掘,19,5
汊,19,15
郜,19,75
砣,19,4
汎,19,6
歪,19,11
帳,19,6
湫,19,28
夆,19,1
欞,19,11
沆,18,3
毳,18,32
酣,18,8
濡,18,18
為,18,2
嶺,18,3
孽,18,4
棪,18,5
峘,18,6
焮,18,7
憊,18,2
匪,18,5
踞,18,2
徠,18,7
晹,18,4
蟠,18,9
喨,18,2
坍,18,16
喊,18,8
棟,18,0
紐,18,23
泫,18,9
裂,18,6
棓,18,13
蘭,18,18
戳,18,3
爺,18,6
逄,18,9
復,18,5
訟,18,1
窘,18,16
傻,18,9
垛,18,6
梃,18,4
岢,18,2
稠,18,6
堅,18,0
仨,18,2
帽,18,10
悶,18,10
帖,18,10
吵,18,14
梆,18,79
紗,18,97
禿,18,1
蜒,18,19
淬,18,18
紅,18,25
摸,18,5
瓢,18,86
純,17,11
剖,17,2
頲,17,4
嶽,17,1
汁,17,24
舌,17,8
舀,17,4
蛆,17,9
戡,17,2
皺,17,10
芪,17,8
損,17,4
迤,17,11
獺,17,13
粘,17,15
繼,17,0
齊,17,1
誒,17,6
權,17,2
猿,17,4
鑭,17,6
徇,17,10
苯,17,7
弩,17,4
赬,17,17
榅,17,1
棹,17,6
輔,17,0
暉,17,2
侵,17,2
琲,17,33
蹤,17,1
暱,17,24
摻,17,5
編,17,7
濯,17,2
汰,17,2
隅,17,7
酌,17,4
籮,17,7
颶,17,4
漚,17,12
肛,17,5
撩,17,1
嚼,17,7
擦,17,5
鬃,17,11
犢,17,2
橘,17,25
踏,17,7
滯,17,9
炯,17,2
蹇,16,6
媯,16,38
楗,16,1
誡,16,3
褲,16,3
罔,16,4
掄,16,1
攙,16,15
扒,16,4
攫,16,9
妊,16,31
輟,16,6
蝕,16,9
綻,16,28
斜,16,10
孰,16,8
贄,16,1
鄔,16,2
鈸,16,1
鼻,16,4
淵,16,0
蕎,16,35
朧,16,4
錸,16,2
薯,16,12
笨,16,5
截,16,13
竅,16,6
鵾,16,3
崤,16,8
仗,16,2
珪,16,6
悲,16,6
滁,16,20
酶,16,16
綴,16,23
糕,16,9
矣,16,14
盞,16,15
穌,16,13
厄,16,0
除,16,7
氖,16,5
挹,16,9
擋,16,19
罷,16,14
業,16,1
竄,16,7
距,16,4
脊,16,2
墟,16,6
恤,16,9
憎,16,3
幹,16,1
鍘,16,17
町,16,11
咀,16,4
箍,16,5
吝,16,8
堵,16,7
害,16,7
攢,16,8
澐,16,14
潦,16,7
躲,15,21
酗,15,10
巔,15,4
壙,15,0
俚,15,5
刺,15,25
碳,15,7
低,15,3
惹,15,15
黠,15,9
愛,15,14
嘶,15,33
滅,15,6
溈,15,6
蕻,15,22
螟,15,15
惦,15,6
軌,15,1
緯,15,0
啞,15,24
獵,15,3
屺,15,1
悝,15,3
阻,15,4
婆,15,30
俯,15,4
娌,15,32
繕,15,6
嵐,15,9
勛,15,3
楸,15,14
兀,15,5
甯,15,29
掏,15,4
喲,15,5
嗌,15,11
澂,15,4
炟,15,8
諤,15,2
萸,15,40
尿,15,2
黍,15,7
汭,15,7
欺,15,6
脅,15,0
劑,15,9
投,15,3
臼,15,4
爸,15,0
纜,15,0
幡,15,2
照,15,14
璦,15,60
獄,15,2
癢,15,5
嵊,15,2
攔,15,7
淶,15,5
暋,15,1
蟶,15,8
退,15,2
缺,15,45
舢,15,6
繒,15,6
焌,15,5
拎,15,38
鬢,15,6
啄,15,6
濕,15,7
塨,15,2
國,15,2
鈣,15,11
倘,15,10
泂,15,1
掃,15,2
婿,15,21
諜,15,35
彣,15,7
嚷,15,7
脫,15,9
橋,15,0
蚌,15,4
筒,15,10
嫉,15,17
奸,14,15
蠟,14,23
僮,14,14
騰,14,0
頸,14,5
廄,14,8
渣,14,8
騂,14,2
誥,14,3
陋,14,3
哩,14,19
浬,14,5
瀛,14,1
錫,14,0
騙,14,6
肌,14,3
膩,14,3
附,14,5
匿,14,3
嗄,14,4
倭,14,12
憤,14,6
囚,14,5
絞,14,34
把,14,5
壺,14,5
膿,14,11
蠱,14,3
謇,14,5
閨,14,70
哆,14,11
骨,14,10
俅,14,3
昃,14,2
刷,14,13
菂,14,23
儻,14,1
幢,14,5
嬴,14,13
銣,14,31
冤,14,10
姻,14,74
匙,14,4
臉,14,10
轎,14,11
昫,14,2
瞄,14,17
蔫,14,11
嫵,14,56
莛,14,14
腔,14,1
豺,14,1
屍,14,6
輅,14,1
堇,14,14
藐,14,22
餅,14,8
櫚,14,5
堀,14,2
矮,14,3
顯,14,0
懶,14,5
胚,14,9
滿,14,2
翦,14,1
肚,14,2
偌,14,20
鍺,14,7
騤,14,2
撮,14,2
躒,14,4
曻,14,0
硫,14,3
煒,14,1
氧,14,6
兗,14,3
鉚,14,5
邏,14,11
昴,13,1
祗,13,1
曇,13,11
屢,13,6
璸,13,3
蟒,13,2
劬,13,2
鐺,13,7
妖,13,54
郗,13,28
燥,13,8
潔,13,15
忽,13,6
暻,13,6
遴,13,2
倒,13,12
驌,13,2
嘟,13,12
竭,13,4
饞,13,9
犧,13,4
氯,13,6
憧,13,6
抖,13,4
廊,13,42
訴,13,3
釀,13,2
訸,13,4
砧,13,5
膚,13,9
濁,13,5
開,13,0
憋,13,5
呷,13,7
趾,13,4
絹,13,115
妏,13,28
隗,13,4
滈,13,0
禽,13,7
郎,13,0
竿,13,12
伋,13,1
檻,13,1
唆,13,5
肇,13,0
烝,13,2
淝,13,2
畹,13,35
刈,13,7
酮,13,6
斷,13,58
枉,13,3
媧,13,67
阡,13,8
蓬,13,1
齲,13,1
勾,13,3
紱,13,8
璆,13,12
穴,13,4
寬,13,1
衿,13,5
玓,13,19
怕,13,4
劈,13,6
褪,13,6
襪,13,4
畇,13,6
覅,13,10
嗆,13,2
惡,12,5
洌,12,5
哄,12,6
卅,12,9
惶,12,0
鐫,12,11
崳,12,5
贖,12,1
梔,12,3
灝,12,0
湟,12,0
皝,12,4
皋,12,2
舔,12,35
碚,12,7
噢,12,2
迨,12,3
緞,12,25
叛,12,3
萁,12,10
脂,12,84
禮,12,0
兜,12,7
碩,12,2
袒,12,0
塤,12,2
賑,12,1
暠,12,0
頒,12,10
迪,12,0
迄,12,2
爪,12,6
酸,12,6
吸,12,5
咕,12,5
吩,12,8
鈃,12,5
弁,12,2
誰,12,10
褶,12,11
蒔,12,17
晢,12,2
遁,12,3
瞰,12,1
肺,12,6
崩,12,2
恁,12,4
霰,12,8
蔬,12,12
醛,12,1
騏,12,0
騄,12,0
漵,12,2
沌,12,54
洐,12,3
英,12,34
埜,12,2
肸,12,6
茳,12,9
抬,12,9
榷,12,5
腥,12,5
銓,12,0
銪,12,2
磋,12,40
櫪,12,3
死,12,2
棨,12,1
訖,12,4
盜,12,5
愔,12,23
賊,12,2
苾,12,24
恙,12,5
郟,12,93
斥,12,3
覬,12,4
顗,12,2
譴,12,3
謎,12,23
脯,12,5
秭,12,13
頹,12,140
愣,12,3
粽,12,4
鏐,12,5
簾,12,8
跋,11,8
擄,11,7
歇,11,7
侹,11,1
蚤,11,0
閥,11,6
則,11,0
廩,11,0
綱,11,0
珥,11,12
磑,11,5
礙,11,8
惑,11,8
旒,11,10
煽,11,7
版,11,5
孵,11,7
恐,11,6
飆,11,0
鸚,11,29
翛,11,8
弨,11,1
恫,11,7
錩,11,1
伉,11,5
嫫,11,74
阪,11,0
熳,11,55
稈,11,1
歎,11,6
競,11,16
勣,11,3
煮,11,4
莊,11,7
鹼,11,5
摹,11,4
蛀,11,12
痛,11,3
轄,11,2
氐,11,6
垓,11,0
瓞,11,3
涵,11,17
墮,11,2
渚,11,2
嚕,11,1
砍,11,4
箔,11,8
鈜,11,6
鏐,11,4
怔,11,3
喇,11,17
衛,11,0
鋕,11,0
彗,11,21
幔,11,151
糜,11,5
村,11,1
棫,11,2
濤,11,2
氨,11,3
莢,11,61
飴,11,3
抨,11,1
匝,11,5
掖,11,4
燙,11,3
蒜,11,4
墳,11,5
哀,11,5
嶒,11,2
辣,11,11
賬,11,7
凹,11,5
罄,11,7
滂,11,1
繭,11,6
悼,11,1
苠,11,5
嘛,11,11
獸,11,4
嗽,11,3
鐙,11,3
涿,11,5
蟹,11,10
鰾,11,6
洩,11,3
飼,11,16
諗,11,12
奀,11,6
鐐,11,4
窈,10,50
燼,10,7
萬,10,0
邃,10,7
矽,10,5
訶,10,4
呁,10,7
拷,10,1
蛹,10,17
簪,10,20
炆,10,6
瑤,10,10
聲,10,3
綮,10,2
袤,10,1
媳,10,38
效,10,3
鴉,10,4
冏,10,3
丫,10,12
晤,10,3
黽,10,2
艙,10,12
檠,10,0
汜,10,2
垅,10,0
釁,10,5
搭,10,3
駸,10,1
擠,10,3
賽,10,4
匏,10,13
韭,10,6
癱,10,2
扳,10,3
滏,10,2
嶢,10,0
筵,10,8
槊,10,0
穠,10,12
磺,10,10
熤,10,2
哿,10,5
渟,10,12
堏,10,5
昏,10,18
鳴,10,1
芭,10,18
玭,10,28
掩,10,0
湲,10,36
襖,10,3
簍,10,8
搪,10,1
喂,10,4
揣,10,0
峒,10,1
饅,10,63
堋,10,1
躥,10,8
摘,10,4
悸,10,5
漏,10,7
逝,10,2
蠅,10,0
啻,10,5
桎,10,0
晙,10,5
銚,10,8
腆,10,6
實,10,1
耍,10,4
孖,10,2
碇,10,0
擺,10,4
莨,10,0
仄,10,2
岍,10,2
拭,10,2
笪,10,10
暇,10,42
乍,10,1
偎,10,0
偃,10,3
來,10,1
脆,10,18
囧,10,7
找,10,4
柁,10,0
弸,9,2
謳,9,11
骸,9,2
傳,9,0
憶,9,8
鎔,9,5
龍,9,0
葶,9,45
湦,9,0
爻,9,4
羞,9,34
汶,9,4
磯,9,1
拆,9,5
鍠,9,0
訓,9,0
鱷,9,2
氦,9,1
韋,9,1
娶,9,7
煖,9,4
蹲,9,3
蕖,9,16
枳,9,12
熇,9,4
髒,9,2
紊,9,12
搓,9,2
蛤,9,6
妗,9,17
怍,9,12
噪,9,3
攆,9,2
洄,9,2
蚜,9,7
飽,9,1
鐔,9,2
筋,9,3
倓,9,8
邡,9,2
閘,9,6
嚏,9,6
鐠,9,2
氚,9,7
鄞,9,4
痢,9,25
莊,9,5
瑊,9,6
疫,9,0
寮,9,2
範,9,0
釹,9,13
楣,9,33
訣,9,7
鴒,9,5
玘,9,10
驊,9,2
毖,9,4
濱,9,0
葫,9,32
乂,9,13
清,9,5
漭,9,1
緒,9,1
暕,9,1
侮,9,5
貸,9,10
踩,9,10
揩,9,5
殘,9,5
橈,9,3
鈴,9,6
玕,9,4
淒,9,4
鍥,9,2
喝,9,1
窖,9,8
碴,9,2
邇,9,8
筏,9,4
囍,9,2
連,9,2
槳,9,1
闓,9,5
運,9,2
苧,9,9
鶴,9,0
嗨,9,2
漿,9,3
駢,9,0
沓,9,5
琵,9,8
怌,9,2
琺,9,1
蹋,9,8
埭,9,2
槌,9,3
坫,9,0
熄,9,3
胳,9,6
珒,9,9
繳,9,5
珝,9,4
蟻,9,8
稹,9,2
臀,9,5
諳,9,8
敉,9,10
礅,9,0
瑧,9,2
捅,9,4
捂,9,3
祤,8,4
標,8,0
拘,8,3
颸,8,10
咽,8,1
楦,8,4
萩,8,24
筧,8,0
漯,8,1
摟,8,0
紙,8,43
脾,8,5
瓛,8,4
億,8,2
輥,8,3
苻,8,2
怛,8,2
踔,8,1
撣,8,2
倉,8,0
壹,8,5
贊,8,0
後,8,2
紈,8,13
唾,8,4
兒,8,7
鄆,8,3
鷥,8,7
瞇,8,39
俘,8,2
瑆,8,3
頜,8,3
蛻,8,7
宕,8,1
綸,8,0
學,8,3
眸,8,5
甕,8,4
浯,8,0
迮,8,2
蔽,8,5
剎,8,16
矞,8,9
浸,8,2
尚,8,1
榀,8,1
啥,8,6
劊,8,2
鍚,8,2
愐,8,0
滉,8,0
砜,8,2
迓,8,0
埡,8,9
寞,8,11
貯,8,5
逑,8,3
蘄,8,7
墘,8,1
醴,8,1
邗,8,1
俊,8,3
吊,8,7
憓,8,7
姊,8,32
嫿,8,56
炒,8,2
瑲,8,2
羆,8,0
岬,8,1
黌,8,4
沺,8,8
訛,8,2
果,8,5
鎦,8,3
蹄,8,0
乜,8,4
岌,8,1
泉,8,0
摔,8,5
輒,8,1
饋,8,9
嫂,8,345
啪,8,10
榮,8,2
塚,8,1
蕁,8,5
棓,8,1
糟,8,4
錄,8,1
扯,8,2
儔,8,1
驢,8,1
儈,8,5
銍,8,0
挫,8,8
卲,8,6
喬,8,1
佈,8,2
軋,8,2
您,8,4
券,8,8
欣,8,2
煚,8,5
妒,8,7
杳,8,6
嶸,8,1
橇,8,4
璡,8,1
抿,8,9
睆,8,5
凶,8,6
垟,8,4
皜,8,0
鍾,8,3
氛,8,248
蓮,8,15
氓,8,3
鏨,8,0
鋯,8,1
鑿,8,2
艷,8,12
凸,7,4
刨,7,1
甩,7,36
崟,7,3
茀,7,1
肘,7,4
埏,7,1
紉,7,22
胯,7,1
廢,7,4
皊,7,34
蚓,7,3
虤,7,0
頰,7,8
楉,7,5
芠,7,3
恝,7,4
帚,7,1
悰,7,3
蔻,7,5
霙,7,14
姍,7,4
瑮,7,5
颿,7,2
畬,7,0
闈,7,4
,7,0
應,7,1
釷,7,2
獒,7,1
屜,7,7
櫓,7,3
並,7,2
齡,7,8
戽,7,2
慥,7,0
婢,7,2
僉,7,0
徼,7,16
鈥,7,1
烹,7,4
腎,7,5
蹭,7,2
吒,7,4
驩,7,0
鉎,7,1
玶,7,8
籟,7,5
妘,7,22
噓,7,3
虱,7,3
瑫,7,4
剝,7,3
嘹,7,1
隙,7,3
隰,7,1
岵,7,0
雋,7,0
鴕,7,8
杪,7,6
煲,7,0
沮,7,6
鍊,7,1
朽,7,5
圜,7,3
稞,7,0
噗,7,2
淵,7,1
姥,7,3
薺,7,17
晸,7,0
狸,7,5
絎,7,5
鈰,7,0
腿,7,1
寬,7,0
夐,7,0
竫,7,8
宏,7,1
怨,7,7
鉿,7,5
倔,7,3
疼,7,4
插,7,9
琁,7,5
臂,7,13
棐,7,2
顰,7,6
鞥,7,2
閶,7,2
拐,7,2
欖,7,5
埝,7,3
婍,7,19
曉,7,4
睽,7,1
脖,7,2
醋,7,4
閌,7,0
僻,7,2
茬,7,7
瀟,7,7
醚,7,5
淤,7,2
異,7,2
陂,7,0
槎,7,3
烷,7,11
崝,7,1
親,7,0
鮫,7,7
璈,7,2
胂,7,2
嫀,7,4
讒,7,3
嘔,7,5
蚺,7,4
爾,7,0
餌,7,8
窕,7,42
浹,7,0
卵,7,45
鶄,7,1
賄,7,4
橦,7,18
哭,7,3
儇,7,3
呤,7,16
瓊,7,5
嗥,7,1
菻,7,3
鏻,7,0
騖,7,1
汔,7,1
綁,7,6
蜓,7,15
鞒,7,0
耜,7,0
岔,7,1
潤,7,1
衠,7,2
腕,7,14
鍊,7,0
呦,7,2
菥,6,4
瘦,6,2
銧,6,0
杕,6,0
汩,6,4
薀,6,3
溳,6,7
賜,6,2
絛,6,5
邐,6,20
怎,6,1
錩,6,0
轷,6,3
瞭,6,2
恣,6,2
賓,6,0
瀧,6,0
嫈,6,15
玹,6,4
愍,6,2
騋,6,1
燐,6,1
劍,6,1
鷁,6,2
芨,6,2
浲,6,0
擱,6,6
寯,6,0
渃,6,1
鐘,6,3
涸,6,7
瘋,6,8
龒,6,2
郯,6,2
鈿,6,3
絜,6,14
濫,6,0
姁,6,18
噯,6,2
逶,6,3
約,6,0
珖,6,7
資,6,1
記,6,1
陡,6,0
詮,6,0
氈,6,5
靴,6,0
剔,6,3
湳,6,3
徊,6,5
創,6,0
巘,6,0
泇,6,2
竽,6,4
災,6,2
伈,6,9
襠,6,2
倖,6,7
歙,6,2
瀉,6,1
滓,6,34
縊,6,1
牯,6,1
翽,6,1
璕,6,8
診,6,16
礞,6,1
壽,6,0
礡,6,2
擻,6,3
嗯,6,3
徉,6,2
蕓,6,6
腱,6,2
瞥,6,1
苫,6,1
謀,6,1
唪,6,6
篤,6,2
誣,6,1
搾,6,1
仵,6,2
伃,6,17
菟,6,2
榤,6,0
顏,6,3
櫳,6,0
榃,6,1
噬,6,0
學,6,3
騂,6,0
謁,6,2
擰,6,8
嬛,6,20
偊,6,2
釗,6,1
錶,6,0
屑,6,2
饑,6,1
豌,6,5
躺,6,3
瀅,6,5
錆,6,6
殲,6,4
醬,6,8
簃,6,1
時,6,1
熙,6,0
琻,6,1
筇,6,6
圯,6,2
屴,6,2
懷,6,2
魅,6,6
鎝,6,1
攪,6,3
錄,6,0
耪,6,0
憚,6,1
譫,6,1
岙,6,1
懲,6,4
埼,6,5
塽,6,5
瘤,6,0
俑,6,1
喵,6,11
眧,6,0
癌,6,1
扦,6,5
斬,6,2
雎,6,2
嘖,6,0
忡,6,2
淌,6,5
緲,6,6
崗,6,0
邊,6,1
桷,6,5
嫘,6,19
卓,6,1
褂,6,4
鎗,6,0
膘,6,2
涑,6,4
臾,6,4
剋,6,2
袋,6,4
礦,6,0
詐,6,2
忖,6,2
氰,6,4
傷,6,2
瀨,6,2
睹,6,4
咱,6,2
筷,6,3
咋,6,6
軻,6,2
議,6,2
墇,6,0
貂,6,5
驌,6,1
叭,6,7
贗,6,3
葉,6,3
廁,6,4
殳,6,4
硌,6,3
賀,6,1
潰,6,3
壎,6,1
楙,5,3
見,5,0
渦,5,2
蒞,5,3
閉,5,3
緦,5,9
鎰,5,0
舲,5,16
嫻,5,5
竊,5,71
燁,5,3
,5,4
躍,5,0
頏,5,1
週,5,2
顒,5,2
鈧,5,0
苘,5,2
鐵,5,3
猙,5,5
焜,5,0
鶤,5,1
債,5,3
倧,5,0
痊,5,1
燠,5,2
妄,5,4
譏,5,7
殖,5,2
忒,5,1
湔,5,1
洎,5,3
鍠,5,0
毜,5,3
撻,5,5
忺,5,2
氡,5,0
優,5,4
詵,5,0
皕,5,1
嚀,5,8
栲,5,0
熲,5,2
杼,5,7
廑,5,2
曄,5,2
榿,5,2
柃,5,6
磙,5,0
柢,5,0
嚎,5,4
垮,5,1
詭,5,1
挾,5,7
嫺,5,8
動,5,0
燮,5,0
階,5,0
栯,5,0
吭,5,1
隍,5,0
堙,5,4
猩,5,2
茺,5,1
驂,5,1
螓,5,3
鍚,5,1
啵,5,0
驎,5,1
滌,5,4
嫖,5,9
勁,5,0
淖,5,45
柸,5,0
夼,5,1
鏵,5,1
炕,5,1
棺,5,3
鉭,5,4
葑,5,5
鎢,5,4
莓,5,25
莧,5,6
祿,5,0
沏,5,4
寐,5,16
儉,5,0
場,5,0
孌,5,95
壢,5,2
鞅,5,1
顯,5,2
鉍,5,3
珍,5,4
匍,5,6
你,5,9
椎,5,4
漉,5,6
餒,5,3
泐,5,0
睇,5,7
豛,5,0
騛,5,1
蜚,5,2
戧,5,0
駙,5,0
煋,5,1
鋃,5,0
鉥,5,0
箬,5,12
沱,5,0
嶇,5,0
訝,5,3
匈,5,3
惍,5,1
榫,5,2
蛛,5,13
軺,5,1
喳,5,1
峻,5,1
緗,5,11
佴,5,1
傣,5,2
儕,5,1
狩,5,1
繆,5,1
頡,5,1
剃,5,2
捶,5,8
摧,5,3
咐,5,0
伎,5,9
栳,5,0
雱,5,7
雇,5,1
偈,5,1
趯,5,1
塗,5,0
縮,5,4
蛐,5,1
雩,5,7
愕,5,1
敗,5,3
虜,5,0
鳩,5,3
苪,5,11
壅,5,0
頎,5,0
咎,5,4
鋦,5,0
鷲,5,4
藪,5,0
酚,5,5
棡,5,1
弇,5,3
適,5,0
叼,5,2
醌,5,1
症,5,0
鋩,5,1
雉,5,2
藝,5,2
詛,5,0
騾,5,0
猗,5,9
隈,5,0
驥,5,0
爬,5,1
矩,5,2
間,5,0
拮,5,3
鏷,5,3
凊,5,1
